Filename,Substrate,Incline,Indiv,Fish.Weight.g,Fish.TotalLength.cm,Premovement,continued.moving,tail.body.use,dorsoventral.bending,Ave.speed.units.s,total.stride.time.s,pectoral.stance.s,total.pelvic.stance.s,pectoral.propulsion.s,pectoralDF,pelvicDF.total,pelvicDF.part1,pelvicDF.part2,prop.pectoral.propulsion,pectoral.spread.mm
SL_20l_pb07f03,SL,20,pb07,8,13,n,y,n,n,0.046958831,0.535,0.42,0.305,0.335,0.785046729,0.570093458,0.196261682,0.373831776,0.626168224,8.93
SL_20l_pb07f04,SL,20,pb07,8,13,n,y,n,n,0.046958831,0.7,0.535,0.465,0.41,0.764285714,0.664285714,0.25,0.414285714,0.585714286,
SL_20l_pb07f05,SL,20,pb07,8,13,n,y,n,n,0.046958831,0.535,0.425,0.375,0.32,0.794392523,0.700934579,0.299065421,0.401869159,0.598130841,7.19
SL_20l_pb07f06,SL,20,pb07,8,13,n,y,n,n,0.046958831,0.6,0.46,0.395,0.35,0.766666667,0.658333333,0.241666667,0.416666667,0.583333333,7.57
SL_20l_pb07f07,SL,20,pb07,8,13,n,y,n,n,0.046958831,0.58,0.475,0.385,0.365,0.818965517,0.663793103,0.293103448,0.370689655,0.629310345,
SL_20l_pb08f01,SL,20,pb08,9,15,n,y,n,y,0.045134815,0.325,0.185,0.27,0.13,0.569230769,0.830769231,0.230769231,0.6,0.4,7.32
SL_20l_pb08f02,SL,20,pb08,9,15,y,n,n,n,0.045134815,0.865,0.49,0.695,0.265,0.566473988,0.803468208,0.10982659,0.693641618,0.306358382,
SL_20l_pb08f03,SL,20,pb08,9,15,y,n,n,n,0.045134815,0.51,0.375,0.37,0.23,0.735294118,0.725490196,0.176470588,0.549019608,0.450980392,5.43
SL_20l_pb08f04,SL,20,pb08,9,15,y,n,n,n,0.045134815,0.845,0.61,0.675,0.325,0.721893491,0.798816568,0.183431953,0.615384615,0.384615385,
SL_20l_pb08f05,SL,20,pb08,9,15,y,n,n,n,0.045134815,0.76,0.505,0.58,0.32,0.664473684,0.763157895,0.184210526,0.578947368,0.421052632,
SL_20l_pb08f06,SL,20,pb08,9,15,n,y,n,n,0.045134815,0.465,0.325,0.35,0.22,0.698924731,0.752688172,0.225806452,0.52688172,0.47311828,
SL_20l_pb08f07,SL,20,pb08,9,15,y,y,n,n,0.045134815,0.755,0.48,0.575,0.355,0.635761589,0.761589404,0.231788079,0.529801325,0.470198675,6.58
SL_20l_pb09f01,SL,20,pb09,2,7.5,y,y,n,n,0.033490743,0.365,0.265,0.28,0.18,0.726027397,0.767123288,0.260273973,0.506849315,0.493150685,
SL_20l_pb09f02,SL,20,pb09,2,7.5,y,y,n,n,0.033490743,0.515,0.31,0.385,0.205,0.601941748,0.747572816,0.145631068,0.601941748,0.398058252,5.49
SL_20l_pb09f03,SL,20,pb09,2,7.5,n,y,n,n,0.033490743,0.525,0.405,0.39,0.24,0.771428571,0.742857143,0.2,0.542857143,0.457142857,5.17
SL_20l_pb09f04,SL,20,pb09,2,7.5,y,y,n,n,0.033490743,0.415,0.28,0.285,0.195,0.674698795,0.686746988,0.156626506,0.530120482,0.469879518,
SL_20l_pb09f05,SL,20,pb09,2,7.5,y,y,n,n,0.033490743,0.55,0.355,0.45,0.215,0.645454545,0.818181818,0.209090909,0.609090909,0.390909091,3.86
SL_20l_pb09f06,SL,20,pb09,2,7.5,n,y,n,n,0.033490743,0.33,0.225,0.275,0.145,0.681818182,0.833333333,0.272727273,0.560606061,0.439393939,7.84
SL_20l_pb09f07,SL,20,pb09,2,7.5,y,y,n,n,0.033490743,0.42,0.265,0.325,0.19,0.630952381,0.773809524,0.226190476,0.547619048,0.452380952,4.48
SL_20l_pb10f01,SL,20,pb10,3,7.5,y,y,n,n,0.026451087,0.605,0.535,0.405,0.34,0.884297521,0.669421488,0.231404959,0.438016529,0.561983471,4.91
SL_20l_pb10f02,SL,20,pb10,3,7.5,y,y,n,n,0.026451087,0.405,0.265,0.32,0.165,0.654320988,0.790123457,0.197530864,0.592592593,0.407407407,
