pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y,pt6_cam1_X,pt6_cam1_Y,pt7_cam1_X,pt7_cam1_Y,pt8_cam1_X,pt8_cam1_Y,pt9_cam1_X,pt9_cam1_Y,pt10_cam1_X,pt10_cam1_Y,pt11_cam1_X,pt11_cam1_Y,pt12_cam1_X,pt12_cam1_Y,pt13_cam1_X,pt13_cam1_Y
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
428.170000,362.830000,310.554699,402.892378,332.533333,465.643898,261.110000,506.950000,329.215520,509.132447,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,359.170000,513.000000,NaN,NaN
427.250000,362.910000,311.379692,403.111176,333.965371,465.840063,263.160000,506.790000,330.556511,509.523049,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,361.640000,512.990000,NaN,NaN
426.730000,362.850000,312.410933,403.111176,336.115854,465.840063,265.430000,506.680000,332.370294,509.523049,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,363.170000,513.000000,NaN,NaN
426.100000,362.820000,313.235926,403.329974,338.120707,465.536229,267.970000,506.740000,334.579482,509.718350,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,365.150000,512.990000,NaN,NaN
425.070000,362.870000,313.973416,403.548772,340.198375,464.928560,271.140000,506.830000,337.156869,509.913651,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,367.110000,513.000000,NaN,NaN
424.430000,362.870000,314.592161,403.923963,341.703228,464.320891,274.670000,507.060000,340.102454,510.304252,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,370.630000,513.040000,NaN,NaN
423.990000,363.110000,315.504657,404.642760,343.916821,463.820891,278.980000,506.920000,342.732137,510.108951,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,374.240000,513.570000,NaN,NaN
423.230000,362.990000,317.067140,405.299154,346.494489,463.213222,283.280000,506.910000,344.861821,510.304252,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,377.320000,513.750000,NaN,NaN
422.190000,362.960000,319.717126,406.611940,349.717787,463.105553,287.720000,507.090000,348.202812,510.694854,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,380.810000,514.820000,NaN,NaN
421.360000,363.070000,323.548340,409.237514,354.086716,463.409387,293.100000,507.480000,351.989387,511.085456,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,384.890000,516.240000,NaN,NaN
420.750000,363.030000,327.673306,412.081885,359.983056,464.161848,298.910000,507.930000,356.855467,511.561960,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,389.400000,517.940000,NaN,NaN
419.590000,363.650000,333.314962,415.366602,367.266635,466.026928,305.530000,509.040000,363.221547,513.061960,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,394.520000,519.910000,NaN,NaN
418.390000,363.810000,340.174405,417.413206,374.806003,468.691328,313.110000,510.120000,370.364710,514.753122,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,400.680000,521.910000,NaN,NaN
417.320000,363.910000,347.033848,419.005010,382.833793,469.490648,320.470000,511.270000,378.462622,515.990774,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,407.180000,524.160000,NaN,NaN
415.590000,363.770000,355.393794,421.506416,390.875477,470.757088,328.240000,512.500000,385.792851,517.117167,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,414.110000,526.370000,NaN,NaN
414.220000,363.900000,363.539383,424.462622,399.666003,472.954367,337.150000,515.000000,393.004545,518.660485,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,421.970000,528.360000,NaN,NaN
413.350000,364.120000,373.614190,427.191429,409.712318,475.885207,346.750000,517.930000,401.375164,520.714665,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,430.700000,530.450000,NaN,NaN
412.350000,365.010000,383.474640,429.920235,422.545577,479.644356,357.910000,520.840000,413.339766,524.371675,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,440.780000,532.950000,NaN,NaN
410.562309,366.096341,395.192520,433.149041,434.012344,482.772366,369.170000,523.610000,425.337583,527.116033,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,451.390000,535.380000,NaN,NaN
409.069423,367.086168,407.824747,436.518568,445.970545,485.726597,380.600000,525.510000,437.218644,529.894792,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,462.090000,537.190000,NaN,NaN
407.576537,368.471925,420.176816,439.838372,458.378318,488.497531,393.330000,527.280000,450.969847,532.129302,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,473.380000,539.030000,NaN,NaN
406.023818,369.659718,433.528886,443.600817,473.490787,489.897276,405.235133,528.347302,465.509884,534.135937,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,486.070000,540.800000,NaN,NaN
402.418382,371.639372,443.917899,446.679864,484.760930,488.461574,415.749625,528.547550,478.466893,536.301234,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,497.820000,541.210000,NaN,NaN
399.932610,372.629198,446.953243,447.750084,489.972728,487.047200,420.846203,525.343587,485.610939,536.617015,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,507.899745,540.669268,NaN,NaN
396.879891,373.223095,447.709870,448.820304,490.699955,484.989928,420.091155,522.339871,486.301614,535.985454,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,510.146691,540.446058,NaN,NaN
395.700394,373.421060,447.457661,449.087859,490.682371,484.315035,417.448484,519.336156,485.610939,534.406550,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,509.803323,539.233259,NaN,NaN
394.267341,373.421060,446.953243,448.820304,490.518560,483.988814,415.127149,519.135908,484.122596,534.090769,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,507.929850,539.520461,NaN,NaN
392.468179,373.816991,446.192198,448.552749,490.018560,483.815035,413.673241,520.137147,482.634253,533.274989,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,506.182903,539.233259,NaN,NaN
389.669018,373.723095,445.435571,448.285194,489.725207,483.446144,411.408095,521.337395,482.443579,533.143427,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,505.496167,538.946058,NaN,NaN
387.429689,373.233268,444.931153,448.552749,489.225207,483.446144,410.142949,521.939376,482.443579,533.459208,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,505.580000,539.040000,NaN,NaN
386.183246,372.733268,444.678944,449.355414,489.225207,483.619922,409.010376,522.540119,482.443579,534.090769,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,505.980000,540.080000,NaN,NaN
385.683246,372.337337,443.922317,450.425634,488.897585,483.815035,407.944090,523.640862,482.943579,534.722331,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,505.910000,541.100000,NaN,NaN
384.563581,372.035302,442.913481,451.763410,488.733774,484.336370,406.556468,524.342348,482.443579,534.722331,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,505.890000,541.080000,NaN,NaN
382.757306,370.441406,441.904645,453.101185,488.414719,484.531483,405.423895,525.042596,481.943579,535.038111,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,505.900000,541.030000,NaN,NaN
381.824252,368.159718,440.143600,455.241625,487.923286,485.226597,404.791322,525.543835,482.645910,535.669673,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,505.950000,540.990000,NaN,NaN
380.324252,363.982099,438.378137,457.382065,487.768042,485.574153,403.847511,526.043835,482.741248,535.669673,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,505.960000,540.980000,NaN,NaN
378.166108,353.192446,436.860466,459.254950,487.268042,486.074153,403.347511,526.445568,482.241248,536.301234,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,505.950000,540.990000,NaN,NaN
