pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y,pt6_cam1_X,pt6_cam1_Y,pt7_cam1_X,pt7_cam1_Y,pt8_cam1_X,pt8_cam1_Y,pt9_cam1_X,pt9_cam1_Y,pt10_cam1_X,pt10_cam1_Y,pt11_cam1_X,pt11_cam1_Y,pt12_cam1_X,pt12_cam1_Y,pt13_cam1_X,pt13_cam1_Y,pt14_cam1_X,pt14_cam1_Y,pt15_cam1_X,pt15_cam1_Y,pt16_cam1_X,pt16_cam1_Y
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
494.454662,859.901849,377.651738,780.548827,430.759491,707.412838,321.46,697.26,418.99,650.71,614.53,574.9,701.55,612.92,126.95,803.81,NaN,NaN,NaN,NaN,578.710369,836.017656,234.943298,962.921705,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
492.863643,861.167505,377.883257,779.06762,430.122415,705.002455,321,696.46,419,650.47,614.94,574.78,702.13,612.67,127.039648,802.941237,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
488.559311,861.933161,377.883257,777.359902,430.759491,703.338302,320.99,695.43,419.54,648.66,615.25,574.67,702.72,612.65,127.534111,801.098764,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
485.23052,862.198817,378.151738,774.906883,433.020153,700.81597,321.13,693.45,421.63,646.99,615.95,574.59,703.93,612.69,128.523037,798.256291,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
484.492749,863.219692,378.688698,772.453863,435.705533,698.099613,321.35,692.85,423.621878,645.546542,617.19,574.19,705.48,612.6,129.523037,796.176945,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
484.254979,863.219692,379.031098,770.246146,438.753837,694.883256,322.66,690.54,426.55817,643.584744,618.39,573.27,707.11,612.13,130.506427,793.808218,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
483.541666,863.47491,380.336538,767.55722,441.665065,692.30872,325.01,688.34,429.33673,641.392289,620.53,572.3,708.45,610.81,131.242585,791.93949,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
483.066125,863.985348,381.373499,765.358899,444.350444,689.868465,327.61,685.91,432.420649,639.199833,623.25,571.14,710.11,609.77,133.473206,788.307636,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,499.694678,852.190681,NaN,NaN,501.536994,854.336939,NaN,NaN
482.566125,864.240566,382.752859,763.141785,447.035824,688.204312,331.16,682.78,435.430755,637.507377,625.52,570.43,712.09,608.57,134.951059,785.280799,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,499.020151,851.270857,NaN,NaN,501.372573,854.183635,NaN,NaN
481.615042,864.251004,384.095259,761.17937,449.635142,686.65426,333.76,680.01,438.477768,635.238035,628.11,569.09,714.15,607.31,136.676144,782.201453,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,499.187941,850.65764,NaN,NaN,502.040363,854.796851,NaN,NaN
480.90173,864.751004,385.97462,759.216954,452.84479,685.017827,335.91,677.01,441.256328,633.545579,631.32,567.85,716.77,605.94,138.401228,779.595853,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,499.642962,849.687145,NaN,NaN,502.530755,854.761408,NaN,NaN
480.450647,865.01666,388.085501,757.263935,455.317811,683.659648,338.76,674,444.118807,631.718452,633.9,566.83,719.45,604.87,140.879081,776.542762,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,500.530257,849.777903,NaN,NaN,502.740908,854.377388,NaN,NaN
478.66,865.65,390.307262,755.292123,458.078473,681.995495,343.01,670.8,446.333518,629.867155,636.97,565.83,722.44,603.39,142.604166,772.726543,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,501.033626,849.89112,NaN,NaN,503.291673,854.953419,NaN,NaN
477.28,865.73,393.223582,753.084406,461.339135,680.025367,346.3,667.39,449.618733,627.867155,640.01,564.77,725.05,601.84,144.6,768.99,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,502.983244,848.497015,NaN,NaN,504.632285,855.337439,NaN,NaN
477.218718,865.870085,395.213823,751.876688,464.736874,678.279138,349.98,663.17,452.830027,626.021821,643.15,563.81,728.26,600.47,145.054335,766.488506,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,502.878206,841.080332,NaN,NaN,504.842438,853.609346,NaN,NaN
476.21969,865.995785,398.093184,750.386084,468.271688,676.226934,354.75,659.04,456.178691,623.697673,646.55,561.82,732.03,599.3,146.296029,762.46167,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,505.035035,838.109704,NaN,NaN,505.472897,851.881254,NaN,NaN
475.78,865.99,400.741024,748.914273,472.538063,674.213829,359.86,654.9,459.889985,621.112932,650.64,560.36,735.91,597.62,148.268346,758.276724,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,506.383053,837.370719,NaN,NaN,506.103356,850.921202,NaN,NaN
475.67,866.95,403.462785,747.942461,476.069395,672.30225,365.31,650.6,464.023865,617.725227,654.47,558.57,739.9,596.52,150.251735,753.013015,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,507.461468,842.543618,NaN,NaN,504.211979,852.265274,NaN,NaN
475.99,866.94,406.502399,746.738849,479.821434,670.584053,369.35,644.96,467.87602,614.879894,658.09,556.76,743.91,595.67,151.707441,746.66996,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,507.191864,841.804632,NaN,NaN,499.37846,853.225326,NaN,NaN
