pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y,pt6_cam1_X,pt6_cam1_Y,pt7_cam1_X,pt7_cam1_Y,pt8_cam1_X,pt8_cam1_Y,pt9_cam1_X,pt9_cam1_Y,pt10_cam1_X,pt10_cam1_Y,pt11_cam1_X,pt11_cam1_Y
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
456.623623,773.594659,288.622980,691.159362,309.836538,632.250613,222.532198,603.093281,300.663508,583.253732,466.571278,542.956796,540.625266,572.876004,689.477955,797.129584,623.068009,794.713381,354.351535,761.080267,354.738310,763.885617
455.857985,773.594659,287.495102,687.613994,313.784521,629.313638,227.060000,599.500000,304.950000,580.570000,471.920000,543.840000,545.330000,574.650000,NaN,NaN,NaN,NaN,352.804438,761.080267,353.384600,763.698594
454.480000,774.000000,287.692082,683.406750,316.821430,626.670361,231.720000,595.820000,309.710000,578.040000,477.050000,543.910000,550.290000,575.740000,NaN,NaN,NaN,NaN,349.516858,760.706220,349.903632,764.633711
452.770000,774.090000,289.389062,678.525462,320.465722,624.027084,238.460000,590.790000,314.374398,575.009665,483.120000,544.040000,556.210000,576.970000,NaN,NaN,NaN,NaN,345.262341,763.885617,344.875567,766.316921
451.190000,774.070000,292.222450,673.633107,327.146924,619.034226,247.650000,583.610000,321.516616,571.113101,491.610000,544.040000,563.400000,578.110000,NaN,NaN,NaN,NaN,342.361534,761.641337,341.587986,765.007758
449.810000,774.060000,296.055839,667.229686,335.042889,613.422461,260.040000,575.450000,329.119623,565.988411,500.920000,543.560000,571.700000,578.650000,NaN,NaN,NaN,NaN,359.766374,745.931374,358.412665,748.549701
448.820000,774.030000,301.434697,660.152220,344.457309,608.635907,272.140000,567.000000,338.565782,561.363721,510.820000,540.470000,581.110000,577.440000,NaN,NaN,NaN,NaN,362.473794,743.313047,360.153149,747.427561
448.390000,774.040000,309.995433,653.748798,354.390184,603.380864,283.760000,559.130000,348.933518,555.347781,520.730000,536.640000,591.120000,574.100000,NaN,NaN,NaN,NaN,365.374601,742.003883,361.893633,747.240538
447.870000,774.030000,320.101639,647.682399,365.323059,597.594310,296.440000,552.380000,359.890642,549.741788,531.900000,532.550000,602.040000,569.810000,NaN,NaN,NaN,NaN,369.242343,740.320673,365.374601,747.988631
447.420000,774.040000,331.147273,642.953022,378.167007,592.307755,309.570000,546.070000,372.821156,544.881690,543.100000,528.460000,613.580000,564.690000,NaN,NaN,NaN,NaN,376.397666,736.019136,372.723311,742.751977
446.470000,774.050000,343.298949,639.245778,391.225719,588.108595,326.430000,539.330000,387.022632,539.677170,553.720000,523.300000,626.670000,559.640000,NaN,NaN,NaN,NaN,394.490215,725.437487,380.198845,741.443814
444.960000,774.030000,356.041563,636.712578,405.302886,584.790528,340.299143,533.260780,401.483347,535.167433,566.530000,520.190000,640.860000,556.620000,NaN,NaN,NaN,NaN,403.185401,721.346595,384.550055,739.839801
443.311050,773.866678,372.466440,634.407960,421.809580,581.734645,358.188592,527.788684,419.320040,532.369019,581.310000,517.250000,656.850000,554.040000,NaN,NaN,NaN,NaN,416.345683,719.301149,396.298322,737.656590
