pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y,pt6_cam1_X,pt6_cam1_Y
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
459.412653,304.365689,378.412927,343.197185,398.429120,386.937813,363.011376,419.497197,398.348509,413.531451,NaN,NaN
459.700050,302.199245,379.492238,343.024832,401.105291,386.761095,366.962842,419.722845,401.320000,413.830000,NaN,NaN
459.391709,301.903815,377.153731,345.093073,402.825687,386.761095,371.101367,419.448493,403.210000,413.550000,NaN,NaN
459.083368,301.608384,376.793961,347.678374,406.648788,385.877503,377.130185,419.448493,407.070000,413.340000,NaN,NaN
458.775027,302.494676,378.233042,349.574262,411.839215,385.700784,384.501525,419.132649,411.820000,413.130000,NaN,NaN
459.083368,302.790107,382.370400,353.538391,418.882712,384.640474,393.378847,418.855435,418.680000,412.660000,NaN,NaN
458.775027,302.199245,387.047414,359.226055,429.587395,381.989698,401.829891,417.679659,429.100000,412.480000,NaN,NaN
458.466686,302.790107,395.655544,364.885426,441.630164,380.929387,409.311028,416.698517,441.060000,411.840000,NaN,NaN
458.466686,302.790107,404.190452,369.619800,453.290622,379.515640,417.520827,415.295454,452.910000,410.670000,NaN,NaN
458.466686,302.494676,417.590828,375.615034,468.106952,379.090788,424.289200,413.188306,467.270000,409.950000,NaN,NaN
458.466686,302.199245,430.745790,375.615034,481.196722,377.180074,431.650224,410.382179,480.610000,408.850000,NaN,NaN
458.583368,301.903815,442.175512,374.788531,492.117747,375.640999,439.918597,407.070946,492.220000,407.470000,NaN,NaN
458.891709,302.017522,457.260822,373.056958,505.079646,374.367497,450.163808,405.667883,504.780000,405.850000,NaN,NaN
458.891709,302.017522,470.732897,372.312265,517.993257,372.714497,462.537080,405.065841,517.490000,404.510000,NaN,NaN
458.700050,301.517522,487.832069,372.560496,532.164452,371.850753,477.840865,404.463798,531.492292,402.772514,NaN,NaN
457.966686,300.926661,505.316016,373.819658,546.988921,373.148820,490.190975,404.259714,546.016558,402.074120,NaN,NaN
457.233323,300.426661,518.061220,373.819658,560.344569,372.967247,504.541085,404.162777,559.607211,401.582153,NaN,NaN
455.266596,304.380968,531.883483,373.303676,570.754119,371.696233,516.588745,404.060735,569.264249,400.788579,NaN,NaN
455.999959,309.880446,536.730251,373.475670,577.235537,371.877807,523.752219,404.259714,575.560678,400.590185,NaN,NaN
458.466686,312.539323,539.602409,374.335640,579.199603,372.240953,528.636405,403.958693,577.050000,400.490000,NaN,NaN
470.800321,314.016476,540.499959,375.195609,579.985229,373.330393,532.218142,404.157672,578.100000,401.000000,NaN,NaN
502.826066,288.313999,541.217998,377.087542,581.752889,374.238260,534.823042,403.856650,579.600000,402.020000,NaN,NaN
539.946138,266.649468,541.936038,373.647664,584.698988,375.872420,538.079166,403.754608,582.290000,403.520000,NaN,NaN
565.433055,265.526996,545.167216,365.391956,586.073834,375.690847,540.358453,404.152566,583.780000,403.840000,NaN,NaN
603.275868,266.940185,551.263954,352.858318,589.019933,375.690847,543.940190,404.356650,586.720000,403.730000,NaN,NaN
636.507217,274.568511,561.263518,341.969824,593.930098,375.872420,547.196314,404.555629,591.180000,403.840000,NaN,NaN
661.776889,293.473492,570.453025,336.601076,597.072603,376.780287,550.126826,404.754608,594.080000,403.960000,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
