pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y,pt6_cam1_X,pt6_cam1_Y,pt7_cam1_X,pt7_cam1_Y,pt8_cam1_X,pt8_cam1_Y
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
574.01,600,459.38,698.92,504.464629,721.170058,405,772.07,506.5,770.02,NaN,NaN,541.01,777.05,278.56,766.9
573.98,600.06,458.51,698.22,504.464629,721.127065,405,773.06,506.48,770.04,NaN,NaN,541.01,777.04,279.11,767.57
573.99,600.58,458.51,697.86,504.464629,721.835209,405.03,773.58,506.02,770.01,NaN,NaN,541.04,777.52,279.19,768.78
574.05,600.59,458.4,697.16,504.964629,722.875928,405.04,774.56,506.57,770.01,NaN,NaN,541.09,778.03,279.58,770.33
574.05,601.54,458.57,696.4,505.347239,723.124791,405.09,775.01,507.06,770.51,NaN,NaN,542.62,778.14,281.23,770.73
573.95,601.52,459.19,695.95,506.112458,723.751497,406.59,774.47,507.62,770.5,NaN,NaN,543.12,778.1,281.85,771.13
573.93,602.02,460.09,695.17,507.71572,724.167784,408.11,773.97,508.1,770.49,NaN,NaN,545.22,779.53,282.41,770.4
573.91,602,461.2,694.24,509.09833,724.375928,409.17,773.45,508.17,770.48,NaN,NaN,546.82,779.83,282.53,769.4
572.94,602.96,462.24,693.3,510.86355,725.000359,410.2,773.49,508.64,770.51,NaN,NaN,548.29,780.04,282.42,770.05
571.12979,605.605994,463.25,692.29,512.77,725.65,410.68,774.02,509.11,770.99,NaN,NaN,549.92,780.14,282.71,769.56
571.33,605.07,464.75,691.94,514.26,726.47,415.61,774.02,510.16,771.5,NaN,NaN,551.5,781.14,284.36,769.5
571.24,605.2,466.2,691.58,515.31,727.29,416.66,774.03,510.63,771.99,NaN,NaN,553.22,781.94,285.78,769.54
571.3,605.38,467.71,691.73,517.16,728.01,420.17,774.04,512.67,773,NaN,NaN,556.08,782.87,287.02,769.4
571.75,605.44,469.5,692.08,518.97,728.67,422.64,774.08,514.37,773.65,NaN,NaN,558.69,783.63,288.42,768.34
570.24,605.44,470.94,692.1,521.454867,729.371379,425.46,773.9,517.1,774.6,NaN,NaN,561.64,783.71,289.95,767.17
568.75,605.72,472.63,692.11,524.985307,730.412098,427.9,773.92,519.85,775.52,NaN,NaN,563.45,784.35,291.43,765.81
