pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y,pt6_cam1_X,pt6_cam1_Y,pt7_cam1_X,pt7_cam1_Y,pt8_cam1_X,pt8_cam1_Y,pt9_cam1_X,pt9_cam1_Y,pt10_cam1_X,pt10_cam1_Y,pt11_cam1_X,pt11_cam1_Y,pt12_cam1_X,pt12_cam1_Y,pt13_cam1_X,pt13_cam1_Y,pt14_cam1_X,pt14_cam1_Y,pt15_cam1_X,pt15_cam1_Y,pt16_cam1_X,pt16_cam1_Y
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
212.505908,927.049626,22.871253,866.751073,62.51808,792.361784,-47.160633,762.299233,54.315822,727.154549,260.87,649.85,359.95,688.76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,133.549153,942.580777,NaN,NaN,138.864807,947.020707,NaN,NaN
213.135466,926.581016,22.853021,866.751073,62.971535,792.361784,-47.440633,761.899233,54.555924,727.154549,260.59,649.45,359.97,688.41,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,134.114009,942.151725,NaN,NaN,139.327422,947.085832,NaN,NaN
212.691129,926.372496,22.883408,865.806379,62.51808,792.361784,-47.690633,761.349233,54.315822,726.465708,260.34,648.9,360.41,688.24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,135.496861,944.296989,NaN,NaN,139.009425,947.514885,NaN,NaN
212.505908,926.549626,22.043678,865.721086,62.51808,792.361784,-47.510633,761.319233,54.315822,725.776866,260.52,648.87,360.62,688.24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,135.620291,944.511515,NaN,NaN,139.256284,948.229411,NaN,NaN
211.950245,926.903886,21.604635,865.850882,62.51808,792.361784,-47.200633,761.029233,54.335618,725.817638,260.83,648.58,360.5,688.37,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,135.996861,945.369621,NaN,NaN,139.197711,948.587517,NaN,NaN
210.968478,927.498058,20.50703,865.431018,61.971535,790.795431,-47.450633,760.909233,54.055924,725.817638,260.58,648.46,361,687.89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,135.996861,945.584147,NaN,NaN,138.82114,948.802043,NaN,NaN
209.48671,929.206578,19.409424,864.801222,61.832721,789.707819,-47.480633,760.369233,53.796026,725.628797,260.55,647.92,360.99,687.81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
208.060605,930.092229,18.750861,864.801222,61.832721,788.051426,-47.190633,759.799233,53.835618,724.858411,260.84,647.35,360.5,686.27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
206.708396,931.509271,17.494692,863.621765,61.635024,786.449541,-47.020633,759.259233,54.315822,723.939955,261.01,646.81,360.34,685.41,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
204.411849,932.717791,16.567254,862.303886,62.239631,784.793148,-46.710633,758.659233,55.27623,722.562272,261.32,646.21,361.09,685.36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
202.430082,933.957703,15.592705,860.905917,63.146541,783.058559,-45.710633,758.069233,55.996536,720.954975,262.32,645.62,361.97,684.59,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
199.787795,935.216102,14.60543,858.57597,63.855755,780.745773,-44.470633,757.569233,57.197045,719.577292,263.56,645.12,363.11,684.31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
197.649229,936.238677,14.592705,856.867342,65.471879,779.011183,-42.910633,757.019233,58.397555,717.510767,265.12,644.57,364.61,683.38,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
195.332448,937.090823,15.10543,856.037394,66.878789,777.300282,-41.720633,756.329233,59.838167,715.90347,266.31,643.88,366.61,682.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
