pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
598.143237,677.131725,502.548992,740.498555,527.286527,782.023135,473.037322,807.617190,524.558638,812.293814
599.160000,677.150000,502.548992,741.237076,528.760000,782.660000,475.550000,808.380000,527.010000,813.280000
598.790000,677.600000,502.842194,741.975596,530.840000,783.010000,478.150000,808.890000,528.610000,813.680000
598.620000,678.640000,502.842194,742.221770,532.640000,783.870000,480.640000,809.800000,530.420000,814.050000
598.130000,679.240000,504.601406,743.944985,535.060000,783.920000,484.170000,810.850000,533.010000,814.950000
597.140000,679.240000,506.067416,746.160547,538.670000,785.230000,487.830000,811.800000,535.710000,815.820000
595.990000,679.030000,507.826628,747.145242,542.150000,786.460000,492.450000,813.000000,538.520000,816.590000
592.690000,681.360000,511.638254,749.622283,546.070000,787.050000,497.170000,813.690000,541.230000,817.160000
590.320000,681.340000,514.133901,751.796557,549.950000,787.980000,502.020000,814.370000,544.290000,817.450000
588.310000,681.680000,519.270424,753.683339,554.290000,788.390000,507.490000,814.970000,548.460000,818.270000
586.100000,681.650000,525.370044,754.761500,557.780000,788.430000,513.830000,815.720000,552.640000,818.690000
584.130000,681.710000,531.790697,756.648282,563.807909,788.478608,521.290000,816.390000,558.420000,819.290000
581.510000,681.850000,539.174449,757.995983,570.535532,788.478608,529.210000,816.490000,565.920000,819.640000
579.720000,681.940000,547.521298,759.882765,579.665878,788.276874,538.830000,816.620000,575.970000,820.020000
577.710000,681.910000,559.078473,761.500007,590.237856,788.882075,549.710000,817.170000,587.110000,820.540000
574.630000,683.570000,572.882878,763.656329,604.034771,788.987477,560.900000,817.720000,600.670000,821.020000
571.850000,685.770000,587.045217,765.004031,621.034860,788.655399,573.374221,818.273327,617.293918,821.440662
567.611674,688.547053,602.312719,766.351732,634.421312,788.359254,585.480000,818.660000,630.550000,821.650000
565.703451,691.951624,618.327450,767.660353,646.976456,787.623811,597.900000,818.140000,643.220000,822.060000
564.987868,694.354851,632.948767,768.310327,658.067694,786.799880,610.250000,815.990000,656.140000,821.340000
565.703451,696.157272,643.223547,768.845536,671.125967,784.703864,622.800000,813.570000,669.250000,820.400000
566.657562,699.361574,653.024753,767.502503,681.948581,783.452177,634.700000,811.890000,680.240000,819.210000
567.081976,700.296041,659.203347,766.617128,689.231626,782.999223,644.720000,810.510000,689.440000,818.270000
568.566149,701.720176,662.515387,765.822003,692.738278,781.640362,652.120000,810.020000,694.980000,817.030000
569.944310,702.788276,664.327426,766.297628,695.705445,781.640362,656.380000,808.580000,698.770000,816.430000
570.156335,702.432243,664.124416,767.683003,696.244930,781.187409,657.000000,807.760000,699.160000,815.940000
569.732285,702.254226,663.124416,768.863503,695.205445,781.413885,656.050000,808.060000,697.300000,816.060000
569.732285,701.542159,660.460872,770.044002,693.586990,781.187409,652.593541,808.818546,694.690000,816.920000
568.990199,701.686125,657.500337,772.314752,691.468536,782.366839,649.590973,810.619237,692.250000,818.320000
568.180000,701.800000,654.891307,774.470877,688.961884,783.452177,646.731384,812.059791,689.380000,819.110000
566.300000,702.260000,653.376258,776.922126,687.343429,784.131607,644.157754,812.780067,686.900000,819.940000
560.850000,703.250000,651.267228,778.102626,687.073687,784.358084,641.298166,813.140205,684.840000,820.740000
556.472261,706.063891,649.861208,779.488001,686.264460,785.037514,639.010495,813.740436,684.520000,820.970000
555.413333,706.063891,648.455188,779.373376,685.994717,785.037514,636.722824,813.980528,683.880000,821.330000
557.531189,705.026630,647.049168,779.963626,685.185490,785.490468,636.007927,814.100574,683.800000,821.110000
560.531485,703.544830,646.697663,779.373376,683.580000,786.040000,635.293030,814.460712,683.740000,821.000000
564.414221,701.914850,646.494654,778.578251,682.360000,786.160000,635.436009,814.340666,683.930000,821.480000
568.473445,701.618490,646.752178,779.373376,682.430000,785.920000,635.007071,814.100574,683.990000,821.450000
576.415405,703.693010,649.158198,779.078251,682.000000,785.920000,635.864948,814.100574,684.010000,820.930000
586.600392,701.332261,648.455188,779.488001,682.520000,785.890000,635.721968,813.980528,683.990000,820.900000
592.395837,700.957962,648.955188,779.078251,683.010000,785.940000,635.721968,813.740436,683.980000,820.950000
600.420298,699.835067,647.088634,778.012376,683.662001,786.694084,635.150050,813.740436,684.490000,821.970000
609.336365,698.712173,646.291644,778.692876,683.942349,786.458702,635.007071,813.740436,685.000000,822.050000
615.131810,698.712173,646.846158,778.692876,683.662001,786.694084,634.435153,813.740436,685.470000,822.060000
625.385288,697.589278,647.549168,778.397751,684.783394,786.929465,634.435153,813.500344,685.990000,822.530000
634.301355,694.969190,649.009703,778.192876,684.503045,787.164847,634.863235,813.620390,685.960000,822.510000
