pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y,pt6_cam1_X,pt6_cam1_Y,pt7_cam1_X,pt7_cam1_Y,pt8_cam1_X,pt8_cam1_Y,pt9_cam1_X,pt9_cam1_Y,pt10_cam1_X,pt10_cam1_Y,pt11_cam1_X,pt11_cam1_Y
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
214.050000,848.690000,83.670000,816.880000,111.904235,768.447188,41.410000,753.230000,102.990000,735.680000,230.050000,681.270000,296.960000,711.410000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
212.010000,849.730000,82.320000,815.290000,112.982115,766.697914,43.140000,749.040000,104.090000,733.680000,231.160000,681.390000,298.100000,711.920000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
210.070000,850.960000,81.060000,813.310000,113.982115,764.948640,45.580000,745.060000,105.590000,732.570000,233.160000,681.630000,299.850000,712.960000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
208.090000,851.940000,81.230000,809.300000,115.215757,762.907820,49.170000,741.130000,107.683224,730.694249,235.600000,681.960000,302.650000,713.270000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
206.040000,852.960000,82.600000,805.860000,117.894100,762.033183,52.810000,737.410000,111.687236,728.068174,238.790000,681.620000,305.790000,712.900000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
204.050000,853.800000,83.692426,804.391376,121.560000,759.540000,57.380000,733.540000,115.691248,725.346110,242.090000,680.410000,309.560000,712.080000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
202.020000,854.870000,86.068990,801.735568,126.050000,757.290000,62.370000,730.000000,121.096664,722.720034,246.280000,679.090000,313.420000,711.620000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
199.980000,855.600000,90.160000,798.360000,130.680000,754.690000,68.630000,725.520000,126.502080,719.795964,250.610000,677.170000,318.220000,710.340000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
198.100000,856.420000,93.490000,794.860000,136.530000,751.550000,75.920000,721.130000,132.910000,716.970000,256.310000,675.250000,323.610000,708.630000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
196.030000,856.810000,98.120000,791.830000,142.950000,747.980000,83.450000,716.690000,139.390000,713.400000,261.970000,672.290000,328.900000,705.400000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
193.990000,857.340000,104.320000,788.950000,150.150000,743.900000,91.710000,712.940000,146.220000,709.770000,268.610000,669.120000,335.900000,701.310000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
192.362575,858.249338,111.710000,785.490000,158.520000,740.130000,100.420000,709.450000,154.040000,706.130000,276.290000,663.760000,343.720000,695.350000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
