pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y,pt6_cam1_X,pt6_cam1_Y,pt7_cam1_X,pt7_cam1_Y,pt8_cam1_X,pt8_cam1_Y,pt9_cam1_X,pt9_cam1_Y,pt10_cam1_X,pt10_cam1_Y,pt11_cam1_X,pt11_cam1_Y
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
340.099729,759.708617,161.063554,693.355786,179.958286,640.394737,79.687520,624.964305,173.462684,593.936727,334.828910,558.553065,404.563541,599.272926,NaN,NaN,NaN,NaN,232.385308,777.115957,234.390033,782.188480
339.450000,760.040000,159.243061,693.789173,180.495766,639.729188,80.280000,624.980000,173.680000,593.460000,335.690000,557.590000,406.713460,600.383291,NaN,NaN,NaN,NaN,232.490000,777.020000,233.990000,782.040000
338.450000,760.090000,158.422568,692.922400,181.152066,637.286048,82.910000,624.720000,175.920000,593.190000,337.780000,556.870000,408.740000,599.790000,NaN,NaN,NaN,NaN,232.460000,777.620000,233.980000,782.060000
335.470000,760.250000,156.221747,691.622241,184.989385,635.677360,88.490000,623.420000,179.570000,592.450000,342.740000,555.400000,413.990000,599.760000,NaN,NaN,NaN,NaN,233.490000,778.270000,234.610000,782.010000
331.080000,760.630000,156.501665,689.388696,191.439144,633.179037,95.790000,620.450000,186.039023,590.450851,351.347466,553.192464,421.980000,596.990000,NaN,NaN,NaN,NaN,235.750000,777.760000,235.630000,782.010000
326.980000,761.400000,160.022979,685.704912,200.613783,627.739252,107.170000,615.700000,195.769859,586.484872,362.470000,549.200000,433.670000,592.240000,NaN,NaN,NaN,NaN,237.830000,776.340000,236.970000,781.960000
321.640000,763.470000,167.065606,679.504276,211.900861,619.965016,120.370000,609.420000,206.675106,579.572811,374.220000,543.420000,446.510000,586.760000,NaN,NaN,NaN,NaN,249.590408,757.398387,241.606478,778.211377
315.122693,766.593016,176.029137,669.952925,223.262899,611.582091,134.730000,600.810000,217.415899,571.387967,386.710000,535.610000,461.305151,578.175979,NaN,NaN,NaN,NaN,262.079063,749.182733,258.574338,756.302967
308.457420,768.716223,188.240918,660.627150,239.618556,600.812886,149.950000,590.270000,232.850000,561.690000,401.440000,524.500000,477.273248,566.406774,NaN,NaN,NaN,NaN,279.430666,753.199275,282.081894,739.323949
304.928745,769.874335,205.228459,652.333919,255.630513,590.262735,166.980000,580.960000,249.722494,551.870720,416.510000,511.950000,494.128905,553.415161,NaN,NaN,NaN,NaN,309.501104,728.029365,309.335590,738.971215
303.537483,771.488444,223.629001,645.295668,272.517270,581.934993,184.720000,572.070000,267.122709,542.262796,432.590000,499.820000,509.500000,540.180000,NaN,NaN,NaN,NaN,336.648998,715.548817,338.790325,720.506843
301.204034,772.769617,244.749627,639.029976,292.703922,573.155719,204.860000,565.050000,287.270000,533.000000,449.800000,489.020000,525.920000,527.430000,NaN,NaN,NaN,NaN,363.350231,704.086179,367.865825,706.884773
300.615921,773.541692,267.891962,634.402858,312.586090,566.648329,224.840000,558.140000,305.830000,525.700000,467.580000,477.950000,542.340000,514.670000,NaN,NaN,NaN,NaN,400.490797,690.456691,414.988835,695.226684
300.419884,773.927729,292.269679,629.628626,332.138590,560.884720,244.110000,550.810000,325.530000,518.350000,485.850000,469.170000,560.930000,503.930000,NaN,NaN,NaN,NaN,427.242604,680.644112,439.941953,685.870666
300.223846,774.313767,314.834845,628.402921,352.410000,557.610000,263.640000,545.450000,346.670000,513.640000,505.470000,464.980000,580.980000,498.680000,NaN,NaN,NaN,NaN,447.567512,676.237118,463.356379,687.202925
