pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y,pt6_cam1_X,pt6_cam1_Y,pt7_cam1_X,pt7_cam1_Y,pt8_cam1_X,pt8_cam1_Y,pt9_cam1_X,pt9_cam1_Y,pt10_cam1_X,pt10_cam1_Y,pt11_cam1_X,pt11_cam1_Y
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
261.713062,794.552623,52.227954,732.97818,54.01,651.48,-95.056904,624.992775,43.99,586.95,238.23,507.06,334.28,539.13,NaN,NaN,NaN,NaN,140.237115,817.253708,147.928258,825.383487
257.899894,795.948515,51.740721,732.478766,54,650.93,-94.086904,624.402775,44.49,585.89,239.2,506.47,334.47,538.92,NaN,NaN,NaN,NaN,140.237115,817.500065,148.408954,826.615271
252.45251,797.902764,52.086675,732.139697,54.55,649.27,-93.476904,623.232775,44.93,584.82,239.81,505.3,334.83,538.72,NaN,NaN,NaN,NaN,140.256419,817.253708,147.207213,824.890773
248.639341,798.740299,51.771881,730.880355,55.59,647.37,-91.346904,622.312775,46.624759,583.123041,241.94,504.38,337.22,538.5,NaN,NaN,NaN,NaN,140.698508,817.007351,146.486169,823.905345
244.553804,799.577834,51.484575,729.427819,57.36355,645.048135,-87.166904,621.292775,48.811791,581.195095,246.12,503.36,340.61,538.99,NaN,NaN,NaN,NaN,141.198508,816.268281,148.129999,824.890773
241.013004,800.973726,51.78647,727.256507,60.774705,643.382657,-81.906904,620.922775,53.342339,578.991729,251.38,502.99,346.37,538.76,NaN,NaN,NaN,NaN,143.10199,816.514638,149.110695,824.151702
235.565621,802.927975,51.78647,725.407137,65.427826,640.609238,-76.146904,619.922775,56.372887,577.063784,257.14,501.99,352.74,538.43,NaN,NaN,NaN,NaN,145.726517,816.514638,150.994874,824.644416
232.114298,805.044689,52.187417,722.530339,70.887189,637.555267,-69.906904,617.822775,62.821763,573.758734,263.38,499.89,358.9,536.33,NaN,NaN,NaN,NaN,149.351044,817.746422,153.696615,825.13713
