pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y,pt6_cam1_X,pt6_cam1_Y,pt7_cam1_X,pt7_cam1_Y,pt8_cam1_X,pt8_cam1_Y,pt9_cam1_X,pt9_cam1_Y,pt10_cam1_X,pt10_cam1_Y,pt11_cam1_X,pt11_cam1_Y,pt12_cam1_X,pt12_cam1_Y,pt13_cam1_X,pt13_cam1_Y,pt14_cam1_X,pt14_cam1_Y
439.095304,886.302889,328.246627,800.296141,348.989179,760.590582,280.62,723.19,345.23,715.95,504.27,708.42,561.24,746.4,120.59,749.96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,422.126643,860.989965,411.568419,865.431221
436.637282,885.593797,328.812533,799.889937,350.851981,759.215389,284.28,721.09,347.03,714.33,506.93,707.25,564.59,745.83,122.62,748.21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,422.133899,861.247308,411.756646,864.932114
433.322267,883.961019,329.59162,798.874425,353.413334,757.1526,288.94,718.37,349.7,712.47,510.65,706.08,567.66,744.83,126.54,746.54,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,422.133899,860.475279,411.944874,864.100268
429.951757,883.013117,331.936613,796.437196,356.673237,755.319009,294.52,715.07,354.52,709.46,515.01,704.67,571.66,743.34,130.03,743.85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,422.130271,859.960593,412.32133,863.102053
426.340496,882.065216,334.781606,792.57825,361.795943,752.339424,299.97,711.52,359.607331,706.395219,519.83,703.23,576.4,741.79,134.06,741.07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,422.130271,858.931221,412.509558,862.436576
422.729235,881.117314,337.626599,788.922407,367.1515,749.401442,306.04,708.06,367.974308,702.125364,525.4,701.38,581.05,739.65,138.57,737.66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,422.382085,857.659192,412.886014,862.103838
418.636472,879.695462,340.96386,786.078973,374.007056,746.380255,312.17,703.77,373.481192,699.751201,531.66,699.79,587.11,738.12,143.74,733.26,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,423.225808,856.083591,413.262469,861.438362
414.78446,878.273609,345.014302,783.032437,379.958265,743.40067,321.3,699.36,380.95482,695.794264,538.91,698.34,593.57,736.71,149.6,728.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,423.867573,854.813733,414.015381,859.77467
411.173199,877.562683,349.704288,779.985901,388.108024,739.962688,330.3,694.49,389.236611,691.716239,546.2,696.31,601.24,734.74,157.26,722.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,425.604875,852.754989,415.402753,857.267353
407.321188,876.851757,356.312904,775.72075,396.024933,736.524706,338.85,689.4,397.22,688.16,553.82,693.31,608.95,731.69,164.86,717.14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,431.551851,849.834638,421.191502,854.318237
401.154161,875.482003,363.561064,772.377317,404.174693,733.086724,346.7,686.07,403.55,685.53,562.08,690.33,617.02,728.65,173.22,712.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,438.507608,845.751409,428.956902,851.677678
397.450408,874.245028,371.448767,769.127678,414.864726,729.200659,355.35,681.84,413.01,681.52,570.39,687.54,625.09,725.97,181.67,708.01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,446.995586,842.704858,437.077812,848.536229
396.286357,875.158767,380.762833,767.409064,423.40256,726.033973,364.6,678.22,422.31,678.53,578.77,685.1,633.6,722.95,191.67,703.23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,456.789407,840.335318,446.275897,845.772057
398.835437,877.320644,390.495529,766.799757,434.926912,723.23708,374.24,674.91,431.31,675.59,587.85,682.07,642.65,719.76,201.14,699.31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,465.277385,837.627272,456.209828,843.333081
401.031755,879.293224,401.414231,767.596805,443.479416,721.675934,383.99,672.57,440.84,673.47,597.22,679.41,652.55,717.06,211.02,695.56,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,474.418285,835.257732,466.643759,840.894105
405.198931,880.793224,412.252525,769.165438,454.602938,721.675934,394.14,671.49,450.79,671.84,606.64,677,662.63,714.24,221.18,693.23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,486.976914,833.379763,477.733346,839.755916
406.248011,881.914632,422.725829,770.912177,465.802611,721.629689,405.15,670.7,464.16,671.38,616.79,674.89,673.09,711.07,231.69,690.63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,499.882587,832.607734,490.426703,838.942924
408.169789,882.184866,437.059674,773.549443,477.694156,722.582427,415.97,671.75,476.75,671.21,627.18,672.38,683.68,707.57,244.23,689.41,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,517.007422,831.063676,504.407791,838.129932
410.915187,882.99557,451.430888,776.300962,487.926416,724.215692,427.03,674.19,488.62,672.41,637.6,669.82,695.1,704.66,257.57,690.66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,533.139513,831.321019,520.33267,840.080161
420.798619,884.076508,465.483854,779.99631,501.338972,728.298855,438.09,678.76,502.01,676.5,648.89,669.91,706.7,703.17,270.43,694.36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,548.527046,833.379763,537.524088,843.089428
427.113034,885.96815,479.276072,786.335031,515.304624,736.737392,449.03,686.7,514.115118,683.22603,659.94,673.79,718.16,706.27,282.97,700.91,4.242686,828.09654,NaN,NaN,NaN,NaN,NaN,NaN,566.821118,839.000908,564.020802,849.72598
430.407511,887.049089,488.173997,796.28599,529.442337,746.123933,460.12,698.07,529.184106,694.251401,671.09,682.24,730.42,715.61,296.05,709.58,10.901833,826.554252,NaN,NaN,NaN,NaN,NaN,NaN,584.932055,849.61473,590.772875,864.808534
434.574687,888.751434,496.669314,808.55014,543.065281,760.476572,470.58,711.04,543.822002,707.52976,683.25,695.77,742.94,730.43,309.06,719.93,18.736124,824.626393,NaN,NaN,NaN,NaN,NaN,NaN,600.153366,860.400779,600.479378,874.515109
430.456591,891.95378,501.95449,812.764042,547.93818,764.115285,477.85,717.72,548.689088,713.81171,694.95,706.32,753.9,741.64,319.46,727.96,26.61,823,NaN,NaN,NaN,NaN,NaN,NaN,608.886847,864.956161,607.551484,876.135694
424.122238,892.102607,506.217785,812.375475,549.114397,763.949889,485.83,718.69,549.824493,714.382797,700.79,706.69,760.291114,741.672061,325.18,730.06,33.4,821.36,NaN,NaN,NaN,NaN,NaN,NaN,613.799969,866.577011,613.706835,876.367206
416.955062,891.372842,507.9864,810.486907,549.199545,764.215436,487.87,717.38,550.392195,714.026167,705.257118,705.176846,763.130539,740.441604,328.88,730.68,35.41,821.05,NaN,NaN,NaN,NaN,NaN,NaN,614.950717,866.883382,615.326133,876.367206
406.248011,888.670496,509.007673,808.59834,550.904415,764.215436,490.84,717.05,550.392195,714.026167,707.9,705.79,765.856822,741.672061,330.2,730.71,36.73,821.28,NaN,NaN,NaN,NaN,NaN,NaN,615.252314,867.196106,616.588063,876.598719
