pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
250.241286,466.497650,166.608613,511.427784,185.829508,541.863827,116.391516,567.250041,185.162982,567.143541
249.714022,467.244172,165.321014,512.348390,185.613919,541.565425,116.455982,567.250041,185.010000,566.990000
249.390000,466.510000,164.336514,512.900754,185.113919,541.662229,116.891516,567.522294,185.550000,566.990000
249.960000,465.630000,163.442714,513.505481,185.898329,540.855837,118.070602,567.933282,186.090000,567.000000
249.800000,465.330000,163.639614,514.978451,186.691867,539.751043,120.262582,567.933282,186.600000,566.470000
249.770000,464.260000,165.639614,517.083179,188.132173,539.952641,123.159435,568.161028,187.630000,566.010000
249.540000,463.940000,167.200575,518.055034,190.572480,539.347847,126.594968,568.205535,189.620000,565.560000
249.290000,463.560000,169.500929,521.182657,193.953092,540.654239,130.248268,568.388775,193.090000,566.040000
248.550000,463.910000,173.151328,522.319290,197.402526,541.863827,134.401568,568.616522,196.110000,566.020000
248.760000,464.070000,176.651771,525.910873,201.929907,541.863827,138.772634,569.072016,200.040000,566.010000
248.720000,464.070000,179.677281,528.392853,206.672879,542.670218,143.169487,569.799763,204.110000,566.820000
248.790000,464.110000,185.052835,531.011466,210.769081,543.178208,147.297000,569.983003,208.250000,567.450000
248.250000,464.050000,189.603411,531.802752,215.218514,543.879806,152.520000,570.470000,213.030000,567.880000
247.960000,464.010000,194.477703,533.154090,220.177075,544.283002,158.269793,570.893991,217.510000,568.480000
247.430000,464.020000,199.904652,533.612059,224.702200,545.229734,164.358626,571.349484,222.540000,569.490000
247.040000,464.570000,204.130250,534.112059,231.164184,546.481894,169.716799,572.032725,228.560000,570.360000
247.070000,464.800000,209.956114,534.103049,236.615141,546.800468,174.831419,572.443712,234.320000,571.400000
247.360000,464.690000,214.506690,534.421366,240.533016,547.437617,180.189592,573.126953,238.870000,571.700000
247.030000,464.710000,221.632466,534.748692,245.121234,547.734054,184.560658,573.582446,243.570000,571.970000
246.330000,464.620000,225.233175,534.239682,250.061163,547.893341,188.944618,573.765687,249.100000,572.170000
245.890000,464.540000,231.158862,533.903345,255.001093,548.393341,192.367258,574.037940,254.510000,572.550000
245.670000,464.430000,237.209438,533.248692,259.600338,548.256192,196.507664,574.310193,259.010000,572.820000
245.640000,464.010000,241.559926,533.121069,263.858897,548.234054,199.917411,574.310193,263.490000,572.550000
245.460000,463.100000,245.435480,531.975426,268.018091,548.471242,202.840051,574.310193,267.570000,572.520000
244.990000,463.220000,249.460989,530.829783,272.122599,548.172916,205.762691,574.310193,271.550000,572.020000
244.950000,462.550000,253.163414,530.268183,275.515337,548.023752,208.441777,574.310193,275.050000,571.540000
244.792267,462.333184,257.598743,529.622341,278.546139,548.164549,211.120864,573.854700,278.540000,570.950000
244.323588,462.041009,259.361406,528.992118,281.715004,548.015386,214.774163,573.854700,281.600000,570.460000
244.323588,462.041009,262.106070,528.523355,284.711682,547.697596,218.183910,573.626953,284.670000,569.970000
244.323588,462.479271,264.142068,527.700434,286.354834,547.557913,221.106550,573.626953,286.170000,569.970000
244.167362,462.479271,265.005400,527.731671,288.244874,547.638864,223.298530,573.215965,287.670000,569.980000
243.698683,462.625359,265.059398,527.361894,289.439893,547.638864,225.490509,572.760472,288.620000,569.990000
244.167362,462.479271,265.904731,528.330657,289.089271,547.499182,225.550000,572.950000,288.560000,570.000000
243.542457,462.625359,265.077397,528.137960,289.388026,547.557913,226.000000,573.010000,289.010000,570.010000
243.386230,462.625359,264.922730,528.606722,289.238648,547.418230,226.010000,573.000000,289.010000,569.990000
244.011136,462.479271,264.577397,529.414025,289.888026,547.418230,225.990000,573.000000,289.500000,570.010000
243.386230,462.917533,264.732065,530.205708,289.388026,547.557913,226.010000,572.490000,289.470000,569.990000
243.386230,463.355795,264.386732,530.851550,289.500000,548.000000,226.000000,571.980000,289.060000,569.990000
243.073778,462.917533,263.868733,532.174471,289.990000,548.020000,226.000000,571.980000,289.010000,570.020000
239.949251,461.894922,263.696066,531.351550,290.010000,548.010000,226.000000,572.000000,289.510000,570.010000
243.008043,456.523490,264.041399,530.867169,290.020000,548.010000,225.990000,572.510000,290.020000,570.000000
249.008147,446.798275,265.077397,529.914025,290.010000,548.000000,226.020000,573.030000,290.040000,570.000000
260.608349,439.816069,266.631395,528.622341,290.530000,547.920000,226.010000,573.520000,290.520000,569.980000
277.992968,434.855743,268.858060,527.054592,291.479310,546.859499,226.000000,573.460000,290.980000,569.980000
302.464848,433.244854,270.584724,524.794145,292.226198,546.719816,226.030000,572.990000,292.010000,569.960000
325.130079,437.773795,272.502054,520.549318,292.674330,546.859499,226.010000,572.990000,292.530000,569.980000
341.225678,442.923938,276.128049,518.127411,293.122463,547.219816,225.990000,573.010000,293.000000,570.020000
