pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y,pt6_cam1_X,pt6_cam1_Y,pt7_cam1_X,pt7_cam1_Y,pt8_cam1_X,pt8_cam1_Y
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
204.687465,235.478827,73.13906,308.728256,124.946109,359.112074,1.584371,418.022127,125,406.99,NaN,NaN,143.01,413,NaN,NaN
203.476756,236.265503,72.63906,309.029526,124.257509,358.875762,2.104371,418.032127,125.03,407.01,NaN,NaN,143.53,413.01,NaN,NaN
203.856913,236.462173,72.492746,309.782703,125.446109,359.612074,2.614371,418.022127,125.52,407,NaN,NaN,144.04,413,NaN,NaN
203.406519,236.568834,72.200118,311.289055,126.364242,359.821013,3.624371,418.042127,126.05,407.02,NaN,NaN,145.05,413.02,NaN,NaN
201.575967,236.658842,72.053805,312.494138,127.282375,360.821013,8.054262,418.112994,126.04,407,NaN,NaN,146.05,413.02,NaN,NaN
199.935494,236.658842,71.857844,314.758852,128.389108,361.002576,12.27013,418.042127,126.03,407,NaN,NaN,147.55,413.01,NaN,NaN
197.570029,236.706009,71.632344,317.544778,129.766307,361.475202,15.521053,417.899083,126.53,407.51,NaN,NaN,148.55,413.01,NaN,NaN
197.087407,236.372434,71.857844,319.866382,131.143507,362.18414,19.450944,418.683861,128.52,408.51,NaN,NaN,152.05,415.52,NaN,NaN
195.95,236.32,72.759845,321.955826,133.209306,363.365703,22.094856,420.254728,130.53,408.99,NaN,NaN,155.57,416.04,NaN,NaN
194.69,235.84,73.661845,324.04527,135.963705,364.310954,26.703713,420.825595,132.107329,409.336091,NaN,NaN,159.05,416.02,NaN,NaN
193.2,235.23,75.240346,325.902554,139.406704,365.492518,30.275669,421.254728,136.583911,409.792239,NaN,NaN,161.05,417,NaN,NaN
