-0.0031955,-0.04759,0.058759,0.0024156,-0.047936,0.055952,0.0031099,-0.051235,0.058158,0.0022834,-0.057367,0.062091,-0.015584,-0.09504,-0.0067389,-0.015584,-0.09504,-0.0067389,0.014622,-0.058688,0.066442
-0.0031692,-0.047633,0.058718,0.0024545,-0.047939,0.055906,0.003206,-0.051242,0.058091,0.0021351,-0.057313,0.062159,-0.015584,-0.09504,-0.0067389,-0.015584,-0.09504,-0.0067389,0.014294,-0.058771,0.06658
-0.0030766,-0.047633,0.058679,0.0025077,-0.047939,0.055864,0.0032592,-0.051234,0.058123,0.0019683,-0.057187,0.062176,-0.015584,-0.09504,-0.0067389,-0.015584,-0.09504,-0.0067389,0.013791,-0.058738,0.066749
-0.0029789,-0.047631,0.058616,0.0026046,-0.047936,0.055838,0.0033513,-0.051236,0.058114,0.001846,-0.057044,0.062154,-0.015584,-0.09504,-0.0067389,-0.015584,-0.09504,-0.0067389,0.01331,-0.058718,0.066972
-0.0029363,-0.04769,0.058489,0.0026904,-0.047939,0.055783,0.0034006,-0.051238,0.058072,0.001691,-0.056882,0.062114,-0.015584,-0.09504,-0.0067389,-0.015584,-0.09504,-0.0067389,0.012855,-0.0587,0.067148
-0.0027806,-0.047752,0.058444,0.0028286,-0.047938,0.055753,0.0034832,-0.051304,0.05806,0.0015409,-0.056613,0.062012,-0.015584,-0.09504,-0.0067389,-0.015584,-0.09504,-0.0067389,0.012343,-0.058749,0.067347
-0.0025876,-0.047752,0.05833,0.0029557,-0.047938,0.055709,0.0035833,-0.051361,0.058011,0.0014098,-0.056289,0.061931,-0.015584,-0.09504,-0.0067389,-0.015584,-0.09504,-0.0067389,0.011789,-0.058739,0.067507
-0.0023287,-0.047751,0.058244,0.0031297,-0.047935,0.055621,0.0037708,-0.051425,0.057898,0.0013081,-0.055823,0.061805,-0.015584,-0.09504,-0.0067389,-0.015584,-0.09504,-0.0067389,0.011263,-0.058873,0.067688
-0.002128,-0.047741,0.058102,0.0033384,-0.047936,0.055566,0.0040051,-0.05147,0.057739,0.0012907,-0.05532,0.06162,-0.015584,-0.09504,-0.0067389,-0.015584,-0.09504,-0.0067389,0.010756,-0.059004,0.067862
-0.0017314,-0.047747,0.057858,0.003661,-0.047935,0.055394,0.0043388,-0.051462,0.057531,0.0012605,-0.054763,0.061369,-0.015584,-0.09504,-0.0067389,-0.015584,-0.09504,-0.0067389,0.010379,-0.059172,0.068072
-0.0015067,-0.04794,0.057754,0.0040933,-0.047935,0.055219,0.0047749,-0.051521,0.05728,0.0014217,-0.054369,0.061081,-0.015584,-0.09504,-0.0067389,-0.015584,-0.09504,-0.0067389,0.010002,-0.059237,0.068207
-0.00089055,-0.047955,0.057418,0.004477,-0.047935,0.055037,0.0052293,-0.051531,0.057104,0.0017085,-0.054008,0.060752,-0.015584,-0.09504,-0.0067389,-0.015584,-0.09504,-0.0067389,0.0095649,-0.059242,0.0684
-0.00024251,-0.048018,0.057189,0.0049044,-0.047974,0.054856,0.0056885,-0.051599,0.056835,0.0020882,-0.053666,0.060471,-0.015584,-0.09504,-0.0067389,-0.015584,-0.09504,-0.0067389,0.0091283,-0.05928,0.068496
0.00028318,-0.047961,0.05692,0.0053715,-0.047979,0.054632,0.0061739,-0.051595,0.056563,0.0024704,-0.05332,0.060163,-0.015584,-0.09504,-0.0067389,-0.015584,-0.09504,-0.0067389,0.0088505,-0.059359,0.06865
0.00080188,-0.048035,0.056603,0.0058259,-0.047996,0.054376,0.0066553,-0.051638,0.05625,0.0028668,-0.053252,0.059869,-0.015584,-0.09504,-0.0067389,-0.015584,-0.09504,-0.0067389,0.0086322,-0.059376,0.068727
0.0013069,-0.048058,0.056282,0.0064106,-0.04803,0.05408,0.0072185,-0.051752,0.055919,0.0033291,-0.053115,0.059497,-0.015584,-0.09504,-0.0067389,-0.015584,-0.09504,-0.0067389,0.0084932,-0.059431,0.068804
0.0018191,-0.048082,0.055989,0.0069532,-0.048137,0.053809,0.0077857,-0.051868,0.055592,0.003801,-0.053069,0.059126,-0.015584,-0.09504,-0.0067389,-0.015584,-0.09504,-0.0067389,0.0085329,-0.059453,0.068804
0.0023386,-0.04817,0.055735,0.0075037,-0.048245,0.053573,0.0083394,-0.052074,0.05537,0.0043245,-0.053082,0.058871,-0.015584,-0.09504,-0.0067389,-0.015584,-0.09504,-0.0067389,0.0084474,-0.059441,0.068824
0.0028879,-0.048215,0.055465,0.0080344,-0.048335,0.053369,0.0088391,-0.052171,0.055163,0.0048369,-0.05315,0.058639,-0.015584,-0.09504,-0.0067389,-0.015584,-0.09504,-0.0067389,0.0084101,-0.059468,0.068859
0.0034159,-0.048303,0.055303,0.0085046,-0.048489,0.053146,0.0093586,-0.052248,0.054994,0.0053755,-0.053082,0.058411,-0.015584,-0.09504,-0.0067389,-0.015584,-0.09504,-0.0067389,0.0083338,-0.059533,0.068863
0.0039567,-0.048303,0.055141,0.0090917,-0.048618,0.052951,0.0098901,-0.052317,0.054806,0.0059125,-0.052939,0.058272,-0.015584,-0.09504,-0.0067389,-0.015584,-0.09504,-0.0067389,0.0080231,-0.059616,0.069089
0.0044203,-0.048336,0.055029,0.0097598,-0.048739,0.052758,0.010466,-0.052425,0.054641,0.0065027,-0.052831,0.058144,-0.015584,-0.09504,-0.0067389,-0.015584,-0.09504,-0.0067389,0.0076002,-0.059569,0.069324
