"ToeTip_X"	"ToeTip_Y"	"KneeElbow_X"	"KneeElbow_Y"	"HipShoulder_X"	"HipShoulder_Y"	"AnkleWrist_X"	"AnkleWrist_Y"	"MetaPhalJoint_X"	"MetaPhalJoint_Y"	"dorsal1_X"	"dorsal1_Y"	"dorsal2_X"	"dorsal2_Y"
574.01	600	459.38	698.92	504.464629	721.170058	0	0	0	0	405	772.07	506.5	770.02
573.98	600.06	458.51	698.22	504.464629	721.127065	0	0	0	0	405	773.06	506.48	770.04
573.99	600.58	458.51	697.86	504.464629	721.835209	0	0	0	0	405.03	773.58	506.02	770.01
574.05	600.59	458.4	697.16	504.964629	722.875928	0	0	0	0	405.04	774.56	506.57	770.01
574.05	601.54	458.57	696.4	505.347239	723.124791	0	0	0	0	405.09	775.01	507.06	770.51
573.95	601.52	459.19	695.95	506.112458	723.751497	0	0	0	0	406.59	774.47	507.62	770.5
573.93	602.02	460.09	695.17	507.71572	724.167784	0	0	0	0	408.11	773.97	508.1	770.49
573.91	602	461.2	694.24	509.09833	724.375928	0	0	0	0	409.17	773.45	508.17	770.48
572.94	602.96	462.24	693.3	510.86355	725.000359	0	0	0	0	410.2	773.49	508.64	770.51
571.12979	605.605994	463.25	692.29	512.77	725.65	0	0	0	0	410.68	774.02	509.11	770.99
571.33	605.07	464.75	691.94	514.26	726.47	0	0	0	0	415.61	774.02	510.16	771.5
571.24	605.2	466.2	691.58	515.31	727.29	0	0	0	0	416.66	774.03	510.63	771.99
571.3	605.38	467.71	691.73	517.16	728.01	0	0	0	0	420.17	774.04	512.67	773
571.75	605.44	469.5	692.08	518.97	728.67	0	0	0	0	422.64	774.08	514.37	773.65
570.24	605.44	470.94	692.1	521.454867	729.371379	0	0	0	0	425.46	773.9	517.1	774.6
568.75	605.72	472.63	692.11	524.985307	730.412098	0	0	0	0	427.9	773.92	519.85	775.52
568.77	605.9	474.42	692.63	528.515746	731.328386	0	0	0	0	430.98	773.93	523.56	776.32
567.76	606.33	476.66	693.14	531.24	731.99	0	0	0	0	433.97	773.78	526.59	776.87
568.34	606.35	479.2873	694.384929	533.7	732.99	0	0	0	0	437	773.99	529.19	777.3
567.04	606.94	482.516638	695.672236	537.783149	733.950543	0	0	0	0	440.14	774.54	532.07	777.99
567.02	607.2	485.564776	696.717004	541.754893	734.366831	0	0	0	0	443.17	774.99	535.54	778.3
566.53	607.31	489.385849	698.246849	547.050552	734.991262	0	0	0	0	446.03	774.92	539.82	778.9
566.04	607.26	492.661054	699.019233	551.684253	735.783118	0	0	0	0	448.88	774.43	544.94	779.67
565.92	606.94	495.436259	700.049078	555.214693	736.242399	0	0	0	0	452.57	774.02	549.15	780.64
565.91	606.97	498.83	700.46	558.686437	736.742399	0	0	0	0	456.06	774.14	553.47	781.13
565.63	607.52	502.51	700.75	563.275571	736.493537	0	0	0	0	459.39	774.26	558.3	781.36
565.13	607.52	506.899477	700.821462	566.967968	736.531981	0	0	0	0	462.41	774.84	562.22	781.82
564.85	607.97	512.1	701.1	570.219059	736.074975	0	0	0	0	466.35	775.08	566.3	781.88
564.86	607.96	516.88	700.55	574.190803	735.450543	0	0	0	0	470.61	774.83	571.7	782.21
564.39	607.92	521.611495	699.792438	578.707115	734.909824	0	0	0	0	475.33	774.76	576.54	782.85
564.43	607.98	526.778672	700.131099	583.561469	734.369105	0	0	0	0	479.72	774.66	581.11	783.53
563.87	608.34	533.458943	700.131099	588.033213	733.993537	0	0	0	0	484.34	774.31	585.56	784.07
563.58	608.07	538.485133	699.792438	592.342999	734.326112	0	0	0	0	488.25	773.01	590.08	784.3
563.57	608.56	543.511322	699.453776	596.535396	734.158687	0	0	0	0	492.03	771.87	594.16	784.06
563.11	608.57	548.537512	698.776454	600.448445	733.950543	0	0	0	0	495.62	770.5	597.52	784.09
562.95	608.51	552.486661	697.76047	602.875622	733.617968	0	0	0	0	498.58	769.86	600.84	784.2
562.96	609.02	556.217783	696.921809	606.082147	733.617968	0	0	0	0	501.13	769.22	603.61	784.13
562.96	609	558.294824	696.744486	608.799018	733.445306	0	0	0	0	501.18	768.95	605.68	784.01
562.96	609.02	559.089892	696.744486	610.875026	733.445306	0	0	0	0	501.1	768.42	608.06	784.01
562.98	609.01	559.589892	696.744486	611.690296	733.132889	0	0	0	0	501.02	768.52	609.03	784.02
562.97	608.98	559.88496	697.083147	611.919624	732.916561	0	0	0	0	500.97	769.03	609.01	784.54
562.99	608.99	560.680027	697.421809	611.919624	733.132889	0	0	0	0	500.98	769.11	608.52	785.05
562.99	608.97	560.448905	696.921809	611.690296	732.916561	0	0	0	0	500.98	770.12	608.99	785.05
562.99	609	560.38496	697.421809	610.772984	733.565544	0	0	0	0	500.98	770.66	608.5	785.54
562.99	609.03	560.166933	697.421809	611.23164	733.349217	0	0	0	0	500.98	771.6	608.46	786.03
562.98	609.01	560.166933	696.744486	610.92	733.04	0	0	0	0	500.95	772.04	607.99	786.08
562.5	608.99	560.38496	697.083147	610.95	733.55	0	0	0	0	500.97	772.57	607.99	786.53
562.74	609.01	561.230878	697.099131	610.4	734.05	0	0	0	0	500.97	773.04	607.97	787.05
562.51	609	560.602987	698.099131	609.95	734.29	0	0	0	0	500.96	773.06	607.97	787.12
562.74	609.05	560.962	697.937793	609.79	734.94	0	0	0	0	500.96	773.05	607.96	787.6
562.99	609.02	561.321014	698.421809	609.42	735.32	0	0	0	0	500.97	773.55	607.98	788.05
562.5	609	560.38496	699.115115	608.95	736.28	0	0	0	0	500.98	774.03	607.48	788.56
562.72	609.01	559.666933	699.776454	608.91	736.76	0	0	0	0	500.97	774.04	607.47	789.06
563.01	608.98	559.307919	700.292438	608.95	737.06	0	0	0	0	500.98	774.04	607.47	789.6
563.01	609.02	558.948905	701.131099	608.94	737.55	0	0	0	0	500.98	774.04	607.49	790.04
562.52	609.49	558.589892	701.485744	608.95	738.05	0	0	0	0	500.99	774.52	607.51	790.05
562.64	609.44	557.871865	702.324406	608.99	738.16	0	0	0	0	500.99	775.02	607.5	790.03
562.98	608.97	557.653838	702.824406	608.95	738.01	0	0	0	0	500.99	775.04	607.48	790.01
562	609.51	557.076797	703.324406	608.97	738.51	0	0	0	0	500.99	775.51	607.49	789.5
561.8	609.52	556.85877	703.84039	608.96	739.02	0	0	0	0	500.99	776.01	607.49	789.99
561.83	610.06	556.640743	704.356374	608.99	739.14	0	0	0	0	501	776.03	607.49	790.01
562.01	610.01	556.204689	705.533696	608.98	739.01	0	0	0	0	501	776.01	606.99	790.01
562	609.99	555.563702	706.388341	608.99	739.51	0	0	0	0	501	776.01	606.98	790
562	609.99	555.063702	707.081648	608.99	740	0	0	0	0	501	776.01	607	790.01
561.98	609.99	554.704689	707.613616	608.99	740.01	0	0	0	0	500.99	776	607	790.01
562	610	554.422716	708.500229	608.99	740.01	0	0	0	0	501	776.01	606.99	790
562.02	609.99	553.93	709.08	609	740	0	0	0	0	501.01	776	607.01	789.98
562	610.03	553.58	709.66	608.99	740.03	0	0	0	0	500.99	776.01	607	790.01
561.99	610	553.4	710.56	609	740	0	0	0	0	501.01	776.01	606.99	790.02
561.99	609.99	553.42	711.54	609	740	0	0	0	0	501	776	607.01	789.99
561.98	609.98	552.93	711.53	609	739.98	0	0	0	0	501.01	776	607	790.01
562	610.03	552.94	712.58	609.01	740.01	0	0	0	0	501	776	607	789.99
561.99	610	552.44	714.04	609	740.01	0	0	0	0	501	776.01	606.99	789.99
561.51	609.99	551.97	716.03	609	739.5	0	0	0	0	501	776	607.01	790
561.75	610.02	551.45	717.52	608.99	739.88	0	0	0	0	501.01	776	607.01	790
561.99	610.02	550.951228	718.967475	608.99	740.01	0	0	0	0	500.99	776.01	606.99	789.99
560.99	609.99	551.111687	719.952377	609	740	0	0	0	0	501	776	607	790.01
560.73	610.03	551.241343	721.43728	608.98	740.01	0	0	0	0	501.01	776	606.98	790.01
560.75	610.03	551.241343	722.625202	609	740.01	0	0	0	0	500.99	776.02	607	790.02
560.99	610.02	551.346285	723.615137	608.98	740.02	0	0	0	0	501	776.02	607.01	789.99
560.99	609.98	551.6364	724.506078	609.02	740.01	0	0	0	0	501	775.99	606.99	790.01
561.01	610.02	551.766056	725.100039	608.97	740	0	0	0	0	501.01	776.01	607	790.02
560.99	610	551.766056	725.694	609.01	740	0	0	0	0	500.99	776.01	607.01	789.98
560.99	609.98	551.951228	726.386955	608.98	740	0	0	0	0	501	776	607	790.01
560.98	610.01	551.870999	726.980916	609.99	738.51	0	0	0	0	501	776.5	608.01	789.98
560.99	610.01	552.266056	726.975883	610.03	738.72	0	0	0	0	501	777	608	790.01
560.99	610.03	552.185827	727.272864	610.99	738.51	0	0	0	0	500.99	777	608.01	790
560.98	610	551.975941	726.772864	611.02	738.55	0	0	0	0	501.01	777.01	609	789.5
560.98	610	551.870999	727.277896	611	738.5	0	0	0	0	501	777	609.51	789.49
560.98	609.98	551.661113	727.079909	610.96	738.1	0	0	0	0	501.01	777.01	610.02	788.98
560.99	610	551.975941	727.079909	611	737.99	0	0	0	0	500.99	777	610.03	789
561	610.02	551.870999	727.178903	611	738.01	0	0	0	0	501.01	777	609.99	789
560.99	610.04	551.99	727.06	610.99	738.01	0	0	0	0	501	777.01	610.01	789.01
560.96	610	551.99	727.02	610.99	738	0	0	0	0	500.99	777.01	610	789
560.98	609.99	551.99	726.99	611	738	0	0	0	0	501	777	609.99	788.99
560.98	609.99	552	727	611.01	737.99	0	0	0	0	501	776.99	610	789
561.01	610.01	552.01	727.03	611	738	0	0	0	0	501	777	610.02	789
561	610	552.01	727.02	611	738	0	0	0	0	501	777	609.98	789.02
560.98	610.01	551.99	727.04	611.49	737.51	0	0	0	0	500.99	777	610	789.01
560.98	609.95	552.01	726.96	611.67	736.93	0	0	0	0	501	777	610.01	789
560.98	609.98	551.99	726.99	611.95	736.5	0	0	0	0	501	777	610	789
560.99	610	552	727.55	611.97	736.44	0	0	0	0	501	777.01	610	788.5
561	610.03	551.99	727.55	612.49	736.01	0	0	0	0	500.99	777	610	788.49
560.99	610	552	727.51	612.65	736	0	0	0	0	501	777	610.5	788
561	609.98	552	727.48	613.02	735.5	0	0	0	0	501	777	611	787.99
560.97	610	551.97	727.52	613.47	735.51	0	0	0	0	501.01	777	611.01	788
560.98	610	551.99	727.55	613.55	735.53	0	0	0	0	501	777	611	788.01
560.98	610.01	551.870999	727.37689	613.47	735.98	0	0	0	0	500.99	777	610.99	787.98
560.96	610	551.661113	727.475883	613.49	736.01	0	0	0	0	500.99	777	611	788.01
560.96	609.97	551.96	727.75	613.01	736	0	0	0	0	501.01	777	611.01	788
560.98	609.97	552	727.99	613.01	735.99	0	0	0	0	501	776.99	610.99	787.99
561	610.01	552	728.04	613.48	736.02	0	0	0	0	500.99	777.01	611	788.01
560.97	610.01	552.01	728.02	613.07	735.99	0	0	0	0	501	777	611.5	787.49
560.98	610	552.03	727.99	613.01	736.01	0	0	0	0	501	777.01	612	786.99
560.96	609.98	552.01	727.98	612.99	735.99	0	0	0	0	501	776.99	612	786.99
560.98	610.01	551.5	728.01	613	736	0	0	0	0	501	776.99	612.01	786.99
561.01	610	551.84	727.96	612.99	735.99	0	0	0	0	501.01	776.99	612.5	786.5
560.99	610	552	728.04	613.48	736	0	0	0	0	500.99	777	613.01	786.47
561	610.01	552	728.01	613.11	736	0	0	0	0	501.01	777.01	613.06	785.99
560.97	609.98	551.98	727.98	613.49	736.01	0	0	0	0	501	776.99	612.99	786
560.99	609.97	552.02	727.98	613.09	735.99	0	0	0	0	501	776.99	613.01	785.99
561	609.97	552.01	728.01	613	735.99	0	0	0	0	500.99	777	613	785.99
560.5	609.99	552	728.04	612.99	736.01	0	0	0	0	501.01	777.01	613.01	786.01
560.87	609.98	552	727.99	612.99	735.99	0	0	0	0	501.01	777	613	786
560.97	609.97	551.99	727.98	613.01	735.99	0	0	0	0	500.99	777.01	613	785.98
560.97	609.99	551.5	728	614.01	736.01	0	0	0	0	501	777.01	613	786
561	610.02	551.82	728	614.05	736	0	0	0	0	500.98	777	613	786
561.01	610	551.5	728.04	614.51	736.01	0	0	0	0	501.01	777.01	612.99	786.01
561.03	609.98	551.9	728.43	615.01	735.99	0	0	0	0	501	776.99	613.01	785.99
560.99	609.96	552.06	728.11	615.02	736	0	0	0	0	501	776.98	613.5	786
560.99	609.96	552.02	728.47	615	735.98	0	0	0	0	501.01	777	614	786
560.98	609.94	552.06	728.18	615	736	0	0	0	0	501	777	614	785.99
561.01	609.96	552	728.5	614.98	735.98	0	0	0	0	501	777	613.99	786
560.99	609.96	551.51	728.49	615.01	736.01	0	0	0	0	501	777	614	785.99
560.98	609.98	551.39	728.07	615.01	736	0	0	0	0	501	777.02	614	786
561	610	551.5	728.03	615	735.52	0	0	0	0	501	777.01	613.99	786.01
560.99	610	552	728.02	614.97	735.55	0	0	0	0	500.99	777.01	614.01	786
561.02	609.99	552.02	727.99	615.01	735.58	0	0	0	0	501.01	777.01	614	786.02
561	609.99	551.766056	728.366825	615.03	735.5	0	0	0	0	501	777	614	786
560.99	610.03	551.661113	728.465818	614.97	735.61	0	0	0	0	500.99	777.01	613.99	786.52
561	609.97	551.782031	728.318184	615.02	735.99	0	0	0	0	501.01	776.99	614.01	786.99
561	609.97	551.990394	728.763654	615.01	735.98	0	0	0	0	500.99	777	614	787
561.01	610	551.518152	728.540919	615.01	735.48	0	0	0	0	501.01	776.99	614	786.99
560.99	609.97	551.754273	728.763654	615.01	734.98	0	0	0	0	501.01	776.99	614.01	786.99
560.49	609.98	551.754273	728.763654	614.99	734.6	0	0	0	0	501.01	776.99	613.99	786.99
559.99	609.98	551.282031	728.709125	614.99	734.61	0	0	0	0	501	777	614.01	787.01
562.866217	608.950595	551.754273	729.154596	614.99	735.02	0	0	0	0	501	777.01	613.99	787
