"ToeTip_X"	"ToeTip_Y"	"KneeElbow_X"	"KneeElbow_Y"	"HipShoulder_X"	"HipShoulder_Y"	"AnkleWrist_X"	"AnkleWrist_Y"	"MetaPhalJoint_X"	"MetaPhalJoint_Y"	"dorsal1_X"	"dorsal1_Y"	"dorsal2_X"	"dorsal2_Y"
268.841108	366.979916	176.773198	408.268728	178.778886	455.05106	0	0	0	0	132.178708	481.159629	176.98484	481.647319
268.651892	367.163632	176.4	408.37	181.170946	455.825239	0	0	0	0	136.082419	482.201093	179.54	482.05
268.651892	366.979916	175.35	410.23	184.759037	456.986507	0	0	0	0	140.755438	483.242558	183.55	482.52
267.705814	367.898497	175	413.21	190.340511	457.373597	0	0	0	0	144.750848	483.755598	189.54	482.99
266.948951	367.714781	176.21	416.96	195.124632	458.34132	0	0	0	0	150.38966	484.52655	194.17	483.52
267.138167	367.898497	177.463005	419.989509	201.702798	458.147775	0	0	0	0	157.837427	485.375717	201.52	483.48
266.35	368.28	180.394689	422.668544	210.07501	457.760686	0	0	0	0	166.079224	486.146669	209.99	483.78
266.38	367.92	184.705987	424.677821	217.653276	457.337753	0	0	0	0	172.629975	486.724883	216.97	483.71
266.43	367.95	190.569353	427.021977	223.601953	457.523858	0	0	0	0	180.416832	487.176034	223.47	484.17
266.5	367.98	197.467431	430.870771	233.1	457.36	0	0	0	0	187.643289	487.821846	231.9	484.76
266.45	367.9	204.537961	435.556764	241.29	457.2	0	0	0	0	195.092207	488.378186	240.33	485
265.91	367.89	213.833011	438.398601	250.44	457.19	0	0	0	0	203.492387	488.732399	250.05	485.04
265.79	367.49	224.12806	441.410197	259.1	457.15	0	0	0	0	211.3	488.82	259.42	485.37
265.97	366.94	233.595561	443.249715	268.84	457.28	0	0	0	0	218.67	489.35	269.22	485.53
265.92	367.37	242.470909	444.746026	278.93	457.22	0	0	0	0	227.07	489.75	278.66	485.88
265.88	367.2	252.42	446.77	289.21	457.26	0	0	0	0	236.300814	490.386044	288.66	486.13
265.62	366.77	261.782333	447.800573	298.79	457.29	0	0	0	0	246.090949	491.475226	298.54	486.37
265.42	366.87	272.008411	449.837263	308.76	457.38	0	0	0	0	253.127405	492.1855	307.69	486.19
265.54	366.52	279.46659	451.192833	317.04	457.53	0	0	0	0	257.168496	492.10957	315.82	486.27
265.99	366.06	285.058087	451.23468	322.9	458.07	0	0	0	0	261.045439	491.906096	321.27	486.25
265.57	366	287.430481	452.127692	326.4	457.82	0	0	0	0	263.245867	491.499149	325.08	486.5
265.11	367.35	288.043643	451.830021	326.89	457.87	0	0	0	0	264.497321	490.995824	325.11	486.97
265.01	367	286.664028	452.871869	327.21	458.06	0	0	0	0	264.54	491	325.02	486.97
265.09	367.48	286.204156	453.46721	327.2	458.1	0	0	0	0	265.03	491.02	325.04	486.49
264.55	367.52	286.510737	454.360222	326.98	458.13	0	0	0	0	265.55	491.04	325.01	486
264.02	367.53	286.817318	455.199739	326.96	458.03	0	0	0	0	266.06	491.04	324.99	486
264.05	368.1	286.204156	456.092751	326.49	458.04	0	0	0	0	266.52198	491.018048	324.49	485.97
263.99	368.07	286.510737	456.295081	326.09	458.05	0	0	0	0	267.277264	490.52916	324.02	486.5
263.6	367.99	286.470609	457.039257	325.93	458	0	0	0	0	267.025503	490.52916	324.48	486.99
264.1	368	286.010737	457.634598	326.01	458	0	0	0	0	267.780787	490.284716	324.5	487.01
263.9	367.7	285.897574	457.783434	326.05	457.97	0	0	0	0	267.525503	490.284716	325.02	487
264.14	367.06	285.897574	458.081104	326.03	457.88	0	0	0	0	267.780787	490.040272	325.5	486.96
260.08116	368.213476	286.050865	457.932269	325.96	457.85	0	0	0	0	267.780787	490.051384	325.49	486.98
261.74044	352.747363	286.664028	457.485763	326.05	457.25	0	0	0	0	268.032548	490.051384	325.5	486.47
276.3421	344.530991	286.890353	457.634598	326.22	456.86	0	0	0	0	269.036071	490.284716	325.51	486.02
296.917166	338.086777	289.883131	449.299821	326.79	456.69	0	0	0	0	269.546639	490.273604	325.49	486.01
321.474503	334.864671	293.102234	436.053479	327.33	456.93	0	0	0	0	270.305446	490.518048	325	486
346.861479	335.831303	297.866349	428.735395	326.75	456.8	0	0	0	0	270.808969	490.773604	325.02	486
367.768401	341.46999	302.964517	423.185405	326.43	456.93	0	0	0	0	271.312492	490.784716	325.02	485.98
385.122117	348.437586	306.788143	420.710409	326.57	457.84	0	0	0	0	271.56073	490.52916	325.05	486.48
398.764983	358.260717	310.470153	418.922912	326.85	457.98	0	0	0	0	272.06073	490.051384	325.04	486.5
408.269001	369.274529	313.019237	418.097913	327.35	458	0	0	0	0	272.312492	489.80694	325.05	486.99
412.378025	378.39756	315.285089	417.410414	327.62	458	0	0	0	0	273.049413	489.511746	325.59	487.02
